Time,APM 1 CPU,APM 1 Memory,APM 2 CPU,APM 2 Memory,APM 3 CPU,APM 3 Memory,APM 4 CPU,APM 4 Memory,APM 5 CPU,APM 5 Memory,APM 6 CPU,APM 6 Memory
312,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,1.9 , 0.0 ,16.9 , 0.0 ,0.0 , 2.8
317,0.0 , 0.0 ,0.0 , 0.0 ,44.3 , 0.0 ,1.9 , 0.0 ,16.6 , 0.0 ,0.0 , 2.9
322,0.0 , 0.0 ,0.0 , 0.0 ,45.0 , 0.0 ,1.9 , 0.0 ,16.3 , 0.0 ,0.0 , 2.9
328,0.0 , 0.0 ,0.0 , 0.0 ,45.8 , 0.0 ,1.9 , 0.0 ,16.1 , 0.0 ,0.0 , 2.9
333,0.0 , 0.0 ,0.0 , 0.0 ,46.7 , 0.0 ,1.9 , 0.0 ,15.8 , 0.0 ,0.0 , 3.0
339,0.0 , 0.0 ,0.0 , 0.0 ,47.3 , 0.0 ,1.9 , 0.0 ,15.6 , 0.0 ,0.0 , 3.0
344,0.0 , 0.0 ,0.0 , 0.0 ,48.1 , 0.0 ,1.9 , 0.0 ,15.3 , 0.0 ,0.0 , 3.1
349,0.0 , 0.0 ,0.0 , 0.0 ,48.2 , 0.0 ,1.9 , 0.0 ,15.6 , 6.5 ,0.0 , 3.1
355,0.0 , 0.0 ,0.0 , 0.0 ,48.2 , 0.0 ,1.9 , 0.0 ,16.1 , 6.5 ,0.0 , 3.1
361,0.0 , 0.0 ,0.0 , 0.0 ,48.2 , 0.0 ,1.9 , 0.0 ,16.6 , 6.5 ,0.0 , 3.3
366,0.0 , 0.0 ,0.0 , 0.0 ,48.1 , 0.0 ,1.9 , 0.0 ,17.0 , 6.5 ,0.0 , 3.3
372,0.0 , 0.0 ,0.0 , 0.0 ,48.1 , 0.0 ,2.0 , 0.0 ,17.5 , 6.5 ,0.0 , 3.4
377,0.0 , 0.0 ,0.0 , 0.0 ,48.2 , 0.0 ,1.9 , 0.0 ,17.8 , 0.0 ,0.0 , 3.4
383,0.0 , 0.0 ,0.0 , 0.0 ,48.7 , 0.0 ,1.9 , 0.0 ,17.5 , 0.0 ,0.0 , 3.5
388,0.0 , 0.0 ,0.0 , 0.0 ,48.1 , 0.0 ,2.0 , 0.0 ,17.3 , 0.0 ,0.0 , 3.5
393,0.0 , 0.0 ,0.0 , 0.0 ,47.5 , 0.0 ,2.0 , 0.0 ,17.1 , 0.0 ,0.0 , 3.5
398,0.0 , 0.0 ,0.0 , 0.0 ,46.9 , 0.0 ,2.0 , 0.0 ,16.9 , 0.0 ,0.0 , 3.5
403,0.0 , 0.0 ,0.0 , 0.0 ,46.2 , 0.0 ,2.0 , 0.0 ,16.6 , 0.0 ,0.0 , 3.5
409,0.0 , 0.0 ,0.0 , 0.0 ,45.6 , 0.0 ,2.0 , 0.0 ,16.4 , 0.0 ,0.0 , 3.6
414,0.0 , 0.0 ,0.0 , 0.0 ,45.1 , 0.0 ,2.0 , 0.0 ,16.2 , 0.0 ,0.0 , 3.6
419,0.0 , 0.0 ,0.0 , 0.0 ,44.5 , 0.0 ,2.0 , 0.0 ,16.0 , 0.0 ,0.0 , 3.6
424,0.0 , 0.0 ,0.0 , 0.0 ,44.0 , 0.0 ,2.0 , 0.0 ,15.8 , 0.0 ,0.0 , 3.6
429,0.0 , 0.0 ,0.0 , 0.0 ,43.9 , 0.0 ,2.0 , 0.0 ,15.6 , 0.0 ,0.0 , 3.6
434,0.0 , 0.0 ,0.0 , 0.0 ,44.4 , 0.0 ,2.0 , 0.0 ,15.4 , 0.0 ,0.0 , 3.7
440,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,15.4 , 7.3 ,0.0 , 3.7
446,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,15.8 , 7.9 ,0.0 , 3.7
451,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,16.2 , 8.4 ,0.0 , 3.8
457,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,16.6 , 8.7 ,0.0 , 3.9
463,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,16.9 , 8.8 ,0.0 , 3.9
468,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,17.3 , 9.1 ,0.0 , 3.9
474,0.0 , 0.0 ,0.0 , 0.0 ,45.0 , 0.0 ,2.0 , 0.0 ,17.6 , 9.1 ,0.0 , 4.1
480,0.0 , 0.0 ,0.0 , 0.0 ,45.5 , 0.0 ,2.0 , 0.0 ,17.4 , 0.0 ,0.0 , 4.1
485,0.0 , 0.0 ,0.0 , 0.0 ,46.0 , 0.0 ,2.0 , 0.0 ,17.2 , 0.0 ,0.0 , 4.2
490,0.0 , 0.0 ,0.0 , 0.0 ,46.4 , 0.0 ,2.0 , 0.0 ,17.1 , 0.0 ,0.0 , 4.2
495,0.0 , 0.0 ,0.0 , 0.0 ,45.8 , 0.0 ,2.0 , 0.0 ,16.9 , 0.0 ,0.0 , 4.3
501,0.0 , 0.0 ,0.0 , 0.0 ,45.4 , 0.0 ,2.0 , 0.0 ,16.7 , 0.0 ,0.0 , 4.3
506,0.0 , 0.0 ,0.0 , 0.0 ,44.9 , 0.0 ,2.0 , 0.0 ,16.5 , 0.0 ,0.0 , 4.3
511,0.0 , 0.0 ,0.0 , 0.0 ,44.5 , 0.0 ,2.0 , 0.0 ,16.4 , 0.0 ,0.0 , 4.4
516,0.0 , 0.0 ,0.0 , 0.0 ,44.0 , 0.0 ,2.1 , 0.0 ,16.2 , 0.0 ,0.0 , 4.4
521,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.0 , 0.0 ,16.0 , 0.0 ,0.0 , 4.4
526,0.0 , 0.0 ,0.0 , 0.0 ,43.2 , 0.0 ,2.1 , 0.0 ,15.9 , 0.0 ,0.0 , 4.4
531,0.0 , 0.0 ,0.0 , 0.0 ,43.1 , 0.0 ,2.1 , 0.0 ,15.7 , 0.0 ,0.0 , 4.5
537,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.1 , 0.0 ,15.6 , 9.3 ,0.0 , 4.5
542,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.1 , 0.0 ,15.9 , 9.3 ,0.0 , 4.7
548,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.1 , 0.0 ,16.2 , 9.3 ,0.0 , 4.7
554,0.0 , 0.0 ,0.0 , 0.0 ,43.6 , 0.0 ,2.1 , 0.0 ,16.5 , 9.3 ,0.0 , 4.7
